folder,file,mode,w,h,opaque_frac,L_mean,L_std,S_mean,temp_RmB,pink_bias,edge_density,oxford_blue_070F34,zaffre_0313A6,dark_violet_9201CB,hollywood_cerise_F715AB,fluor_cyan_34EDF3,dom1,dom2,dom3
armz,traits/armz/Arms_Cash.png,RGBA,1393,1393,0.0528,166.68,53.37,0.105,14.95,-3.56,17.99,0.0261,0.0,0.0,0.0,0.0,#C7C2B4,#E8E5E1,#A49F93
armz,traits/armz/Armz_Gummy_Bear_Knives.png,RGBA,1393,1393,0.0792,123.93,76.52,0.0788,7.99,-0.43,11.78,0.31,0.0,0.0,0.0,0.0,#232220,#E0DED9,#C0BAB4
armz,traits/armz/Armz_Gummy_worms_katana.png,RGBA,1393,1393,0.0349,141.35,81.66,0.0401,3.41,-0.29,22.75,0.2326,0.0,0.0,0.0,0.0,#E7E6E4,#1B1B1A,#BCB9B6
armz,traits/armz/Armz_Katana_for_ice_cream_character.png,RGBA,1393,1393,0.0337,141.84,82.5,0.041,3.41,-0.29,23.14,0.2367,0.0,0.0,0.0,0.0,#E8E7E6,#1C1B1A,#C0BDBB
armz,traits/armz/Armz_Marshmallow_knives.png,RGBA,1393,1393,0.0555,123.54,76.28,0.079,7.99,-0.43,13.03,0.308,0.0,0.0,0.0,0.0,#DCD9D4,#1E1D1B,#7B746D
armz,traits/armz/Armz_Oatmeal_Pie_Katana.png,RGBA,1393,1393,0.0336,141.83,82.52,0.0408,3.41,-0.29,22.99,0.2369,0.0,0.0,0.0,0.0,#E8E7E5,#1B1B1A,#BEBBB8
armz,traits/armz/Armz_Twinkie_Katana.png,RGBA,1393,1393,0.0259,141.36,81.67,0.04,3.41,-0.29,24.42,0.2329,0.0,0.0,0.0,0.0,#E8E7E5,#1C1C1B,#C0BDBA
armz,traits/armz/Armz_choc_cookie_katana.png,RGBA,1393,1393,0.0329,141.37,81.67,0.0402,3.41,-0.29,23.23,0.2323,0.0,0.0,0.0,0.0,#E8E7E5,#1C1C1B,#C1BEBC
armz,traits/armz/Sweetardio_114 (4).png,RGBA,1393,1393,0.0518,147.87,92.31,0.2174,-35.71,3.89,37.35,0.2104,0.0202,0.0,0.0,0.0503,#F1F2F5,#24272C,#9FA1B1
armz,traits/armz/Sweetardio_114 (5).png,RGBA,1393,1393,0.0517,151.02,90.16,0.2412,-2.79,19.9,35.68,0.2063,0.0,0.0,0.104,0.0492,#F3EEF2,#7DB7BC,#0F1113
armz,traits/armz/Sweetardio_114 (6).png,RGBA,1393,1393,0.0517,166.98,88.25,0.2248,-38.56,-17.02,32.18,0.2063,0.0,0.0,0.0,0.1572,#F0F7F7,#141619,#3DEAEF
armz,traits/armz/Sweetardio_115 (11).png,RGBA,1393,1393,0.0902,78.45,78.96,0.0643,1.66,0.03,15.26,0.5942,0.0,0.0,0.0,0.0,#313030,#111010,#EFEEED
armz,traits/armz/layer-layer-layer-layer-AK15.png,RGBA,1393,1393,0.0532,109.22,73.33,0.5848,64.0,-6.41,22.12,0.191,0.0,0.0,0.0,0.0,#6F470B,#221409,#E5DCC8
armz,traits/armz/layer-layer-layer-layer-AR47.png,RGBA,1393,1393,0.0546,72.76,73.4,0.1588,13.31,0.27,15.73,0.5695,0.0,0.0,0.0,0.0,#141412,#A99E92,#DED8D0
armz,traits/armz/layer-layer-layer-layer-Military_Brat.png,RGBA,1393,1393,0.0165,168.36,105.01,0.0521,-0.05,0.27,39.44,0.261,0.0,0.0,0.0,0.0,#FCFBFC,#080707,#383838
armz,traits/armz/layer-layer-layer-layer-Nerf_Blaster.png,RGBA,1393,1393,0.0714,101.51,61.66,0.6235,36.98,23.73,16.74,0.1261,0.1919,0.0,0.0,0.0,#EC5C10,#0F319F,#2E212F
armz_originals,traits/armz_originals/Sweetardio_114 (4).png,RGBA,1393,1393,0.0838,121.62,98.41,0.4194,-46.37,21.57,30.11,0.2191,0.1085,0.0001,0.0,0.0672,#F2F4F5,#211D34,#3B08A8
armz_originals,traits/armz_originals/Sweetardio_114 (5).png,RGBA,1393,1393,0.0838,133.84,88.48,0.4333,2.82,49.99,29.74,0.1997,0.0,0.0,0.2877,0.0672,#F5F6F8,#F715AB,#1E1D2C
armz_originals,traits/armz_originals/Sweetardio_114 (6).png,RGBA,1393,1393,0.0838,167.86,83.8,0.3962,-74.0,-29.85,29.93,0.1997,0.0,0.0,0.0,0.3549,#34EBF1,#F6F7F8,#161325
backgrounds_pop_originals,traits/backgrounds_pop_originals/Legendary_Just_Aliens.png,RGBA,1393,1393,1.0,44.08,34.8,0.3326,-8.56,1.54,5.65,0.605,0.0,0.0,0.0,0.0,#03050A,#4B4E54,#303339
backgrounds_pop_originals,traits/backgrounds_pop_originals/Legendary_Opengotchi.png,RGBA,1393,1393,1.0,30.65,27.56,0.6051,-22.63,4.68,9.08,0.8448,0.0,0.0,0.0,0.0,#040916,#151C2C,#2A3248
backgrounds_pop_originals,traits/backgrounds_pop_originals/Legendary_Simplex.png,RGBA,1393,1393,1.0,28.04,27.31,0.6419,-22.45,9.13,6.97,0.8405,0.0,0.0,0.0,0.0,#030511,#14162C,#282B47
backgrounds_pop_originals,traits/backgrounds_pop_originals/Legendary_Tenders.png,RGBA,1393,1393,1.0,28.74,31.19,0.4436,-8.88,1.59,11.24,0.8642,0.0,0.0,0.0,0.0,#05080E,#171A20,#2F3237
backgroundz,traits/backgroundz/Ayotollah.png,RGBA,1393,1393,1.0,86.74,55.62,0.2632,25.54,2.95,7.56,0.2712,0.0,0.0,0.0,0.0,#50433C,#242023,#7B6257
backgroundz,traits/backgroundz/Baked.png,RGBA,1343,1343,1.0,108.21,34.23,0.2218,26.51,0.16,2.54,0.0435,0.0,0.0,0.0,0.0,#605448,#968777,#7B6B5C
backgroundz,traits/backgroundz/Ben_dot_Eth.png,RGBA,1393,1393,1.0,81.88,41.8,0.3664,-17.64,-1.73,4.6,0.2984,0.0,0.0,0.0,0.0,#2D4355,#1F2730,#43657F
backgroundz,traits/backgroundz/Bubble_Trouble.png,RGBA,1254,1254,1.0,58.85,37.75,0.6715,-25.54,58.63,9.28,0.3101,0.0179,0.0,0.0,0.0,#1E0E3F,#461F6A,#7E3589
backgroundz,traits/backgroundz/Cabaret_Alley.png,RGBA,1393,1393,1.0,36.55,35.96,0.0,0.0,0.0,6.72,0.746,0.0,0.0,0.0,0.0,#050505,#1D1D1D,#383838
backgroundz,traits/backgroundz/Candy_Tundra.png,RGBA,1343,1343,1.0,126.0,33.26,0.3117,-37.34,4.79,3.05,0.021,0.0,0.0,0.0,0.0,#6D7A94,#8995AB,#51647C
backgroundz,traits/backgroundz/Celestial.png,RGBA,1393,1393,1.0,135.94,40.77,0.3067,-42.0,32.21,10.52,0.0001,0.0,0.0,0.0,0.0,#7268A0,#5C5287,#8E82BB
backgroundz,traits/backgroundz/Cereal_Killer.png,RGBA,1393,1393,1.0,116.53,45.9,0.3976,-33.84,8.51,7.72,0.0465,0.0,0.0,0.0,0.0,#37425F,#486E94,#93717D
backgroundz,traits/backgroundz/Choco_Falls.png,RGBA,1343,1343,1.0,101.05,37.19,0.2157,18.91,3.86,2.99,0.0544,0.0,0.0,0.0,0.0,#74655E,#604D45,#3D302E
backgroundz,traits/backgroundz/Coder_Chick.png,RGBA,1024,1024,1.0,132.6,61.23,0.1161,12.79,3.76,8.02,0.0446,0.0,0.0,0.0,0.0,#635A5C,#413B42,#90827D
backgroundz,traits/backgroundz/Cookboy.png,RGBA,1393,1393,1.0,33.43,36.17,0.6147,-26.72,7.28,12.72,0.8117,0.0,0.0,0.0,0.0,#070A1F,#161E33,#313C4F
backgroundz,traits/backgroundz/Crumble_Trail.png,RGBA,1393,1393,1.0,78.04,48.45,0.2531,21.75,3.4,8.88,0.3414,0.0,0.0,0.0,0.0,#251C1C,#493A35,#725F54
backgroundz,traits/backgroundz/Drained_The_Swamp.png,RGBA,1393,1393,1.0,93.43,44.65,0.1014,3.33,0.05,5.97,0.2114,0.0,0.0,0.0,0.0,#807D7B,#5F5C59,#3D3C3A
backgroundz,traits/backgroundz/Druski.png,RGBA,1393,1393,1.0,88.43,48.54,0.1668,4.81,4.58,8.74,0.3109,0.0,0.0,0.0,0.0,#615857,#221E27,#3C3338
backgroundz,traits/backgroundz/Flavor_Explosion.png,RGBA,1393,1393,1.0,111.03,48.16,0.2134,29.37,3.09,2.21,0.0352,0.0,0.0,0.0,0.0,#433B3A,#B1937B,#605551
backgroundz,traits/backgroundz/Goo_Lagoon.png,RGBA,1254,1254,1.0,95.5,48.7,0.3613,13.12,-27.5,4.23,0.2773,0.0,0.0,0.0,0.0,#1E3022,#3C5536,#5F7A4C
backgroundz,traits/backgroundz/Gummy_Bears.png,RGBA,1393,1393,1.0,78.22,39.22,0.5424,-17.97,35.72,5.83,0.1371,0.0,0.0,0.0,0.0,#39204B,#6A316C,#9B5589
backgroundz,traits/backgroundz/He_Needs_Some_Milk.png,RGBA,1343,1343,1.0,116.44,43.36,0.1042,2.98,0.28,4.12,0.0724,0.0,0.0,0.0,0.0,#757473,#9A9491,#505151
backgroundz,traits/backgroundz/Im_Not_Sorry.png,RGBA,1343,1343,1.0,108.13,24.98,0.2189,26.27,10.89,3.57,0.0001,0.0,0.0,0.0,0.0,#725D5A,#856E6A,#5D4C4B
backgroundz,traits/backgroundz/Legendary_Just_Aliens.png,RGBA,1393,1393,1.0,76.51,47.35,0.3355,-20.55,4.47,7.9,0.3942,0.0,0.0,0.0,0.0,#6F747E,#080E27,#252D3E
backgroundz,traits/backgroundz/Legendary_Opengotchi.png,RGBA,1393,1393,1.0,66.01,38.53,0.464,-36.81,8.1,13.36,0.4095,0.0001,0.0,0.0,0.0,#2C3750,#0F193A,#475169
backgroundz,traits/backgroundz/Legendary_Simplex.png,RGBA,1393,1393,1.0,34.65,33.79,0.7544,-42.82,23.69,5.62,0.6799,0.0223,0.008,0.0004,0.0002,#050517,#16163F,#272866
backgroundz,traits/backgroundz/Legendary_Tenders.png,RGBA,1393,1393,1.0,61.3,42.34,0.3896,-23.36,4.91,16.09,0.5213,0.0,0.0,0.0,0.0,#272E3E,#0B1431,#414752
backgroundz,traits/backgroundz/M&Ms.png,RGBA,1393,1393,1.0,72.11,51.4,0.6029,-29.6,31.15,7.32,0.3215,0.0023,0.0,0.0,0.0,#191538,#462F74,#933C75
backgroundz,traits/backgroundz/Mars_Overlay.png,RGBA,1393,1393,0.0443,16.87,25.98,0.5525,14.98,1.7,6.3,0.8253,0.0,0.0,0.0,0.0,#050302,#23140C,#452B1C
backgroundz,traits/backgroundz/Midnight_Snack (1).png,RGBA,1343,1343,1.0,71.94,39.86,0.3311,25.44,6.31,16.18,0.2835,0.0001,0.0,0.0,0.0,#5F4F4A,#42302A,#1F1514
backgroundz,traits/backgroundz/Nabisco.png,RGBA,1254,1254,1.0,47.35,36.17,0.2152,7.55,1.26,8.77,0.6544,0.0,0.0,0.0,0.0,#151414,#312B29,#524843
