file,category,brightness,saturation,hero_pct,score,status
traits/background/Fruit_Rollup.png,background,71.45,83.0,0.92,17.32,FAIL
traits/background/Im_Blu3.png,background,62.39,84.86,0.0,29.05,FAIL
traits/backgroundz/sweet_dreams_bedroom.png,backgroundz,21.88,71.88,32.98,32.16,FAIL
traits/background/Celestial.png,background,84.99,20.52,0.0,40.02,FAIL
traits/background/Monster_Fur.png,background,73.98,53.37,0.0,43.16,FAIL
traits/background/Tootsie.png,background,75.27,47.53,0.02,47.06,FAIL
traits/what_are_thosez/Shiba_Overlay_Left.png,what_are_thosez,78.4,35.44,0.0,50.0,FAIL
traits/what_are_thosez/Shiba_Overlay.png,what_are_thosez,79.34,34.26,0.0,50.0,FAIL
traits/what_are_thosez/Shiba_Overlay_Right.png,what_are_thosez,78.75,33.15,0.0,50.0,FAIL
traits/characterz/before_skinz_og_poptart.png,characterz,90.73,47.54,0.0,50.0,FAIL
traits/characterz/after_skinz_chocolate_doughnut.png,characterz,32.46,70.84,0.0,50.0,FAIL
traits/characterz/after_skinz_glazed_doughnut.png,characterz,74.81,76.42,0.0,50.0,FAIL
traits/characterz/before_skinz_vanilla_ice_cream.png,characterz,66.23,48.44,0.0,50.0,FAIL
traits/characterz/after_skinz_marshmallow.png,characterz,86.74,15.76,0.0,50.0,FAIL
traits/characterz/after_skinz_rice_crispy_treat.png,characterz,74.82,61.05,0.0,50.0,FAIL
traits/characterz/after_skinz_smores.png,characterz,69.14,83.65,0.0,50.0,FAIL
traits/characterz/after_skinz_chocolate_chip_cookie.png,characterz,47.22,70.55,0.0,50.0,FAIL
traits/characterz/after_skinz_waffle.png,characterz,65.4,86.64,0.0,50.0,FAIL
traits/characterz/after_skinz_churro.png,characterz,70.43,78.75,0.0,50.0,FAIL
traits/characterz/after_skinz_sugar_doughnut.png,characterz,78.22,66.44,0.0,50.0,FAIL
traits/characterz/before_skinz_zebra_cake.png,characterz,76.94,30.93,0.0,50.0,FAIL
traits/characterz/after_skinz_brownie_bite.png,characterz,31.57,64.58,0.01,50.01,FAIL
traits/characterz/before_skinz_sugar_cube.png,characterz,74.48,9.85,0.01,50.01,FAIL
traits/characterz/before_skinz_neopolitan_ice_cream.png,characterz,60.46,57.9,0.01,50.01,FAIL
traits/characterz/after_skinz_ding_dong.png,characterz,26.23,51.83,0.01,50.01,FAIL
traits/what_are_thosez/Gorbhouse_Base.png,what_are_thosez,53.82,11.97,0.02,50.02,FAIL
traits/what_are_thosez/Pepe_Overlay.png,what_are_thosez,42.4,64.53,0.02,50.02,FAIL
traits/characterz/before_skinz_mint_chocolate_chip_ice_cream.png,characterz,57.18,41.2,0.02,50.02,FAIL
traits/characterz/before_skinz_chocolate_frosted_poptart.png,characterz,32.16,73.3,0.02,50.02,FAIL
traits/characterz/before_skinz_rocky_road_ice_cream.png,characterz,42.95,70.34,0.02,50.02,FAIL
traits/characterz/after_skinz_oatmeal_cream_pie.png,characterz,41.48,83.13,0.02,50.02,FAIL
traits/what_are_thosez/Shiba_Base.png,what_are_thosez,73.11,32.26,0.03,50.03,FAIL
traits/stickerz/24_Golden_Ticket.png,stickerz,71.17,26.42,0.03,50.03,FAIL
traits/characterz/layer-Sweetardio_112 (20).png,characterz,69.57,81.12,0.03,50.03,FAIL
traits/stickerz/10_Candy_Shop.png,stickerz,59.58,35.32,0.05,50.05,FAIL
traits/what_are_thosez/Monster_Overlay.png,what_are_thosez,66.43,67.45,0.05,50.05,FAIL
traits/stickerz/09_Chibi_Monster.png,stickerz,51.67,24.98,0.06,50.06,FAIL
traits/stickerz/13_Box_of_Chocolates.png,stickerz,66.94,14.94,0.06,50.06,FAIL
traits/what_are_thosez/Monster_Base.png,what_are_thosez,61.93,61.9,0.08,50.08,FAIL
traits/what_are_thosez/Gorbhouse_Overlay.png,what_are_thosez,51.78,12.84,0.08,50.08,FAIL
traits/what_are_thosez/Pepe_Base.png,what_are_thosez,38.94,57.38,0.09,50.09,FAIL
traits/stickerz/15_Calvin_Candie.png,stickerz,48.73,55.73,0.13,50.13,FAIL
traits/stickerz/04_Marshmallow_Man.png,stickerz,73.75,5.21,0.14,50.14,FAIL
traits/stickerz/16_The_Bunny.png,stickerz,46.78,31.99,0.15,50.15,FAIL
traits/stickerz/28_opengotchi.png,stickerz,31.27,33.72,0.17,50.17,FAIL
traits/stickerz/06_Dude_Sweet.png,stickerz,58.57,36.41,0.18,50.18,FAIL
traits/stickerz/05_American_Pie.png,stickerz,84.09,42.55,0.21,50.21,FAIL
traits/stickerz/08_Crying_Tomato.png,stickerz,73.03,75.97,0.23,50.23,FAIL
traits/stickerz/21_Straight_outta_Gulag.png,stickerz,45.81,2.37,0.26,50.26,FAIL
traits/mouthz/layer-layer-Mouth_Fang.png,mouthz,5.26,2.17,1.32,50.26,FAIL
traits/stickerz/22_Sweet_Tooth.png,stickerz,55.67,14.52,0.28,50.28,FAIL
traits/stickerz/20_The_meme_is_the_tech.png,stickerz,48.24,3.19,0.41,50.41,FAIL
traits/stickerz/26_Caroline_Ellison.png,stickerz,31.06,33.52,0.46,50.46,FAIL
traits/what_are_thosez/Bunny_Slippers_Base.png,what_are_thosez,55.59,13.09,0.48,50.48,FAIL
traits/what_are_thosez/Bunny_Slippers_Overlay.png,what_are_thosez,68.75,15.55,0.52,50.52,FAIL
traits/stickerz/07_Rare_Candy.png,stickerz,63.92,33.55,0.52,50.52,FAIL
traits/stickerz/17_Hunny_Pot.png,stickerz,70.96,48.51,0.67,50.67,FAIL
traits/stickerz/25_Zombieland_Twinkie.png,stickerz,41.62,26.98,0.74,50.74,FAIL
traits/characterz/before_skinz_pink_sherbert_ice_cream.png,characterz,67.73,78.89,0.75,50.75,FAIL
traits/stickerz/01_Peppermint_Butler.png,stickerz,76.68,20.59,0.8,50.8,FAIL
traits/stickerz/14_Shorts_doggo.png,stickerz,51.22,20.66,1.06,51.06,FAIL
traits/stickerz/18_Pwease_Lollipop.png,stickerz,53.28,44.9,1.4,51.4,FAIL
traits/stickerz/03_Benson.png,stickerz,72.05,15.27,2.41,52.41,FAIL
traits/background/Coder_Gurl.png,background,75.66,6.3,1.54,54.01,FAIL
traits/stickerz/02_Mr_Owl.png,stickerz,81.36,28.16,4.52,54.52,FAIL
traits/mouthz/layer-layer-Mouth_Flat.png,mouthz,10.12,1.71,0.28,55.12,FAIL
traits/mouthz/layer-layer-Mouth_Flat (1).png,mouthz,10.12,1.71,0.28,55.12,FAIL
traits/stickerz/23_Robot_Chicken_Gummy_Bear.png,stickerz,69.74,41.58,7.57,57.57,FAIL
traits/background/Candy_Tundra.png,background,63.89,41.83,20.86,58.11,FAIL
traits/eyez/layer-layer-Eyes_Dealwithit_Pixel.png,eyez,14.37,70.52,0.0,60.0,WARNING
traits/eyez/layer-layer-Eyes_Googly.png,eyez,50.91,3.06,0.16,60.16,WARNING
traits/eyez/layer-layer-layer-layer-Eyes_Alien (1).png,eyez,8.87,7.92,0.19,60.19,WARNING
traits/eyez/layer-layer-Eyes_Side_Eye.png,eyez,49.42,7.84,0.26,60.26,WARNING
traits/eyez/layer-layer-Eyes_Lowkey.png,eyez,7.7,3.21,0.64,60.64,WARNING
traits/characterz/before_skinz_cyan_frosted_poptart.png,characterz,71.2,32.94,10.73,60.73,WARNING
traits/stickerz/19_Emyr.png,stickerz,87.13,49.34,11.25,61.25,WARNING
traits/eyez/layer-file_0000000062b071f8b3d115704b04609c.png,eyez,51.95,7.15,1.98,61.98,WARNING
traits/eyez/layer-art_mattrick_011 (1).png,eyez,7.09,17.61,6.46,66.46,WARNING
traits/mouthz/layer-layer-Mouth_Lollipop.png,mouthz,21.46,16.01,0.0,66.46,WARNING
traits/stickerz/12_Candy_Land.png,stickerz,79.37,25.96,17.1,67.1,WARNING
traits/background/Loops.png,background,66.88,32.61,7.11,67.18,WARNING
traits/eyez/layer-file_00000000a21871f894573a9d4ee67519 (1).png,eyez,5.13,20.3,9.4,69.4,WARNING
traits/armz/dual_wield.png,armz,26.67,5.69,0.09,71.67,WARNING
traits/eyez/mattrick_001.png,eyez,18.95,40.46,12.76,72.76,WARNING
traits/skinz/Rename_to_color.png,skinz,82.05,79.48,93.37,72.95,WARNING
traits/background/art_mattrick_001-1-2.png,background,62.68,16.32,0.01,73.48,WARNING
traits/backgrounds_pop/Legendary_Morsel.png,backgrounds_pop,16.0,66.2,0.1,73.8,WARNING
traits/backgrounds/art_mattrick_003-16.png,backgrounds,38.89,65.82,8.83,74.18,WARNING
traits/skinz/Skin_Fluorescent_Cyan.png,skinz,79.99,87.2,96.92,75.01,WARNING
traits/armz/layer-layer-layer-AR47.png,armz,30.2,15.63,0.03,75.2,WARNING
traits/skinz/Skin_Black.png,skinz,30.53,51.09,0.0,75.53,WARNING
traits/backgrounds_pop/Legendary_Simplex.png,backgrounds_pop,18.59,64.19,2.63,75.81,WARNING
traits/background/Cotton_Castle.png,background,60.88,29.23,1.1,76.19,WARNING
traits/skinz/Skin_Chocolate_Candy.png,skinz,32.63,56.53,0.23,77.63,WARNING
traits/characterz/before_skinz_zaffre_sherbert_ice_cream.png,characterz,57.26,79.9,28.03,78.03,WARNING
traits/background/Vanilla_Lane.png,background,59.23,36.16,0.0,78.66,WARNING
traits/backgrounds_pop/Legendary_Sarv.png,backgrounds_pop,18.61,60.52,0.15,79.48,WARNING
traits/skinz/Skin_Candy.png,skinz,73.19,64.82,40.55,81.81,PASS
traits/characterz/before_skinz_rainbow_sherbert_ice_cream.png,characterz,57.44,82.65,32.12,82.12,PASS
traits/skinz/Skin_White.png,skinz,72.86,43.64,0.0,82.14,PASS
traits/skinz/Skin_Bubblegum.png,skinz,72.78,41.95,0.05,82.22,PASS
traits/armz/layer-layer-6-7.png,armz,72.64,3.02,0.16,82.36,PASS
traits/skinz/Skin_White_Candy_Coat.png,skinz,71.29,1.63,0.11,83.71,PASS
traits/background/Sweet_Shop.png,background,54.88,41.24,0.21,83.95,PASS
traits/background/Straight_of_America.png,background,54.93,17.65,0.0,85.1,PASS
traits/mouthz/layer-layer-Mouth_Blunt.png,mouthz,40.42,29.04,0.0,85.42,PASS
traits/background/Wafer_Abbey.png,background,53.19,42.22,0.03,85.5,PASS
traits/backgrounds_pop/Legendary_Yatrah.png,backgrounds_pop,13.54,54.19,0.8,85.81,PASS
traits/skinz/Rename_to_color2.png,skinz,68.88,82.38,95.77,86.12,PASS
traits/backgrounds_pop/Legendary_Fairdevs.png,backgrounds_pop,14.84,53.85,2.81,86.15,PASS
traits/background/Goo_Lagoon.png,background,41.81,52.33,0.43,87.67,PASS
traits/background/Soft_Serve.png,background,53.16,24.95,3.53,87.76,PASS
traits/armz/layer-layer-layer-Nerf_Blaster.png,armz,66.82,61.15,1.52,88.18,PASS
traits/background/Frosting_Forest.png,background,52.84,28.62,0.19,88.24,PASS
traits/skinz/Skin_Alien.png,skinz,66.62,7.3,0.0,88.38,PASS
traits/background/Swamp_Drained.png,background,52.74,8.59,0.0,88.39,PASS
traits/background/Sweetardio.png,background,52.73,32.81,0.0,88.41,PASS
traits/background/Cereal_Killer.png,background,52.24,28.44,1.59,89.14,PASS
